ampersand,&
ampersand2,&
ampersand3,&
asterik,*
italics.capital.letter.a,A
italics.capital.letter.ae,AE
italics.capital.letter.b,B
italics.capital.letter.c,C
italics.capital.letter.d,D
italics.capital.letter.e,E
italics.capital.letter.f,F
italics.capital.letter.g,G
italics.capital.letter.h,H
italics.capital.letter.i,I
italics.capital.letter.j,J
italics.capital.letter.k,K
italics.capital.letter.l,L
italics.capital.letter.m,M
italics.capital.letter.n,N
italics.capital.letter.o,O
italics.capital.letter.p,P
italics.capital.letter.q,Q
italics.capital.letter.q2,Q
italics.capital.letter.r,R
italics.capital.letter.s,S
italics.capital.letter.t,T
italics.capital.letter.u,U
italics.capital.letter.v,V
italics.capital.letter.w,W
italics.capital.letter.y,Y
italics.capital.letter.x,X
italics.capital.letter.z,Z
italics.small.letter.a,a
italics.small.letter.ae,ae
italics.small.letter.b,b
italics.small.letter.c,c
italics.small.letter.d,d
italics.small.letter.e,e
italics.small.letter.f,f
italics.small.letter.g,g
italics.small.letter.h,h
italics.small.letter.i,i
italics.small.letter.j,j
italics.small.letter.k,k
italics.small.letter.l,l
italics.small.letter.m,m
italics.small.letter.n,n
italics.small.letter.o,o
italics.small.letter.oe,oe
italics.small.letter.p,p
italics.small.letter.q,q
italics.small.letter.r,r
italics.small.letter.s,s
italics.small.letter.s1,s
italics.small.letter.t,t
italics.small.letter.u,u
italics.small.letter.v,v
italics.small.letter.w,w
italics.small.letter.x,x
italics.small.letter.y,y
italics.small.letter.z,z
italics.small.ligature.ct,ct
italics.small.ligature.ff,ff
italics.small.ligature.ffi,ffi
italics.small.ligature.fi,fi
italics.small.ligature.fl,fl
italics.small.ligature.sh,sh
italics.small.ligature.sl,sl
italics.small.ligature.ss,ss
italics.small.ligature.st,st
latin.capital.letter.ae,AE
latin.capital.letter.casq,Q
latin.capital.letter.x,X
latin.small.letter.ae,ae
latin.small.ligature.ct,ct
latin.small.ligature.ff,ff
latin.small.ligature.ffi,ffi
latin.small.ligature.fi,fi
latin.small.ligature.fl,fl
latin.small.ligature.rs,rs
latin.small.ligature.sb,sb
latin.small.ligature.sh,sh
latin.small.ligature.si,si
latin.small.ligature.sk,sk
latin.small.ligature.sl,sl
latin.small.ligature.ss,ss
latin.small.ligature.st,st
latin.smallcapital.letter.a,A
latin.smallcapital.letter.r,R
latin.small.letter.long.s,s
latin.small.letter.z,z
